role,text,response_latency,start_time,end_time
counselor,"안녕하세요, 저는 오늘 함께 이야기를 나눌 에코입니다.
여러 일들로 마음이 불편하고 자기 감정을 알기 어려울 때 상담을 통해 마음의 안정을 찾도록 돕는 일을 하고 있어요.
간단하게 자기 소개를 부탁해도 될까요?",N/A,2024-07-01 23:22:15,2024-07-01 23:22:15
client,내 이름은 서현이야 만나서 반가워,12.7초,2024-07-01 23:22:32,2024-07-01 23:22:45
counselor,"서현 학생, 만나서 반가워요. 요즘 어떤 일로 마음이 불편한지 조금 더 이야기해 주실 수 있을까요?",2.4초,2024-07-01 23:22:45,2024-07-01 23:22:48
client,요즘 것 같아,12.4초,2024-07-01 23:22:56,2024-07-01 23:23:08
counselor,요즘 어떤 일들이 서현 학생을 힘들게 하고 있는 것 같나요? 구체적으로 어떤 상황들이 힘들게 느껴지는지 이야기해 주실 수 있을까요?,2.7초,2024-07-01 23:23:08,2024-07-01 23:23:11
client,요즘 밤에 잠이 잘 안 오는 것 같다니까,12.4초,2024-07-01 23:23:20,2024-07-01 23:23:33
counselor,밤에 잠이 잘 오지 않아서 많이 힘드시겠어요. 잠이 오지 않을 때 주로 어떤 생각들이 떠오르나요?,2.3초,2024-07-01 23:23:33,2024-07-01 23:23:35
client,그런 생각이 들어,13.9초,2024-07-01 23:23:43,2024-07-01 23:23:57
counselor,어떤 생각이 드는지 조금 더 자세히 얘기해 주실 수 있을까요? 그 생각들이 어떤 느낌을 주는지도 궁금해요.,2.3초,2024-07-01 23:23:57,2024-07-01 23:23:59
client,내일 하루도 잘 지낼 수 있을까 그런 생각이 든다니까,12.6초,2024-07-01 23:24:07,2024-07-01 23:24:20
counselor,내일 하루를 잘 지낼 수 있을지 걱정이 되시는군요. 이런 걱정이 들 때 어떤 기분이 드시나요? 혹시 이런 생각을 하게 되는 특별한 이유가 있을까요?,3.5초,2024-07-01 23:24:20,2024-07-01 23:24:24
client,연구실에서 인턴을 하고 있는데 내가 맡은 일은 잘 못 할까 봐 걱정이야,12.3초,2024-07-01 23:24:35,2024-07-01 23:24:47
counselor,연구실 인턴으로서 맡은 일을 잘 해내지 못할까 봐 걱정이 되시는군요. 어떤 부분이 특히 어렵게 느껴지나요? 구체적으로 어떤 일들이 부담스럽게 느껴지세요?,2.6초,2024-07-01 23:24:47,2024-07-01 23:24:50
client,내가 잘 해결하지 못 하겠고 두 분을 맞닥뜨렸을 때,12.5초,2024-07-01 23:25:02,2024-07-01 23:25:14
counselor,그런 상황에서 많이 부담스럽고 두려우시겠어요. 혹시 두 분을 맞닥뜨렸을 때 어떤 반응을 보이시나요? 그 상황에서 어떤 감정을 느끼시는지 조금 더 이야기해 주실 수 있을까요?,2.7초,2024-07-01 23:25:14,2024-07-01 23:25:17
client,그냥 부분이야 내가 잘 해결하지 못 하는 부분,12.5초,2024-07-01 23:25:30,2024-07-01 23:25:43
counselor,서현 학생이 잘 해결하지 못하는 부분이 어떤 것인지 구체적으로 말씀해 주실 수 있을까요? 어떤 부분에서 특히 어려움을 느끼는지 알고 싶어요.,2.4초,2024-07-01 23:25:43,2024-07-01 23:25:45
client,stt ttss 발생해서 잘 모르겠어,12.5초,2024-07-01 23:25:56,2024-07-01 23:26:09
counselor,stt ttss가 발생해서 혼란스러우시군요. 혹시 이 상황이 반복적으로 발생하나요? 그리고 이 상황을 겪을 때 어떤 감정이 드는지 말씀해 주실 수 있을까요?,2.5초,2024-07-01 23:26:09,2024-07-01 23:26:11
client,내가 잘 해결하지 못하는 애를 만났을 때 어떻게 해야 할지 막막해,14.7초,2024-07-01 23:26:24,2024-07-01 23:26:39
