role,text,response_latency,start_time,end_time
counselor,"안녕하세요, 저는 오늘 함께 이야기를 나눌 에코입니다.
여러 일들로 마음이 불편하고 자기 감정을 알기 어려울 때 상담을 통해 마음의 안정을 찾도록 돕는 일을 하고 있어요.
간단하게 자기 소개를 부탁해도 될까요?",N/A,2024-07-05 00:10:59,2024-07-05 00:10:59
client, 안녕 내 이름은 박소연이요,14.9초,2024-07-05 00:11:21,2024-07-05 00:11:36
counselor,"안녕하세요, 소연 학생. 만나서 반가워요. 요즘 마음이 어떠신가요? 어떤 일로 상담을 받고 싶으신지 이야기해 주실 수 있나요?",2.5초,2024-07-05 00:11:36,2024-07-05 00:11:39
client, 요즘 밤에 잠이 잘 온지 않고 잠도 자주 설치는 것 같아,14.5초,2024-07-05 00:11:51,2024-07-05 00:12:05
counselor,"(따뜻한 어조로) 아, 밤에 잠을 잘 못 자서 많이 피곤하시겠어요. 언제부터 이렇게 잠을 설치기 시작하셨는지 기억나세요?",2.9초,2024-07-05 00:12:05,2024-07-05 00:12:08
client, 그건 잘 기억이 안 나는 것 같은데,14.1초,2024-07-05 00:12:20,2024-07-05 00:12:34
counselor,(이해하는 표정으로) 그렇군요. 혹시 잠을 설치기 시작한 이후에 스트레스나 걱정거리가 많아진 것 같다고 느끼시나요?,5.3초,2024-07-05 00:12:34,2024-07-05 00:12:40
client,rant 그렇게,24.8초,2024-07-05 00:12:52,2024-07-05 00:13:16
counselor,(부드럽게) 그럼 혹시 잠자리에 들기 전에 어떤 생각들이 떠오르나요? 또는 어떤 활동을 하시나요?,2.1초,2024-07-05 00:13:16,2024-07-05 00:13:18
client, 나는 자기 전에 핸드폰을 보거나 노래를 듣는 것 같아,14.2초,2024-07-05 00:13:28,2024-07-05 00:13:42
counselor,"(따뜻한 미소로) 핸드폰을 보거나 노래를 듣는 것이 잠들기 전에 마음을 안정시키는 데 도움이 되나요, 아니면 오히려 더 깨어 있게 하나요?",2.3초,2024-07-05 00:13:42,2024-07-05 00:13:45
client, 음... 둘 다 아닌 것 같은데? 잘 모르겠어.,14.1초,2024-07-05 00:13:57,2024-07-05 00:14:11
counselor,"(공감하는 표정으로) 이해해요, 소연 학생. 그럼 혹시 잠들기 전에 어떤 감정이 드는지 한번 생각해 볼 수 있을까요? 예를 들어, 불안하거나 걱정되는 마음이 들 때가 있나요?",2.7초,2024-07-05 00:14:11,2024-07-05 00:14:14
client, 다음날 너무 할 일이 많거나 바쁠 것 같으면 자기 전에 걱정이 되는 것 같아,14.5초,2024-07-05 00:14:30,2024-07-05 00:14:45
counselor,"(따뜻하게) 네, 다음날 할 일이 많아서 걱정이 되는군요. 그럴 때는 특히 어떤 일들이 걱정되시나요?",2.4초,2024-07-05 00:14:45,2024-07-05 00:14:47
client, 그냥 내가 맡은 일이나 하거나 해야 하는 것들 그런 게 아닐까?,14.3초,2024-07-05 00:14:56,2024-07-05 00:15:10
counselor,(이해하는 표정으로) 그렇군요. 맡은 일이나 해야 할 것들이 많아서 부담이 되시나 봐요. 그런 일들이 많을 때 어떤 식으로 대처하시나요?,2.4초,2024-07-05 00:15:10,2024-07-05 00:15:12
client, 그냥 하는 것 같아.,13.8초,2024-07-05 00:15:26,2024-07-05 00:15:40
counselor,"(따뜻한 어조로) 소연 학생, 그런 상황에서도 잘 해내고 계신 것 같아요. 혹시 할 일을 미리 계획하거나 정리하는 방법을 사용해 보신 적이 있나요?",2.3초,2024-07-05 00:15:40,2024-07-05 00:15:42
client, 나는 항상 할 일을 미리 계획하거나 정리해.,14.2초,2024-07-05 00:15:56,2024-07-05 00:16:10
counselor,"(칭찬하는 어조로) 정말 잘하고 계시네요, 소연 학생. 그럼에도 불구하고 걱정이 되는 건 참 힘들겠어요. 혹시 계획을 세우면서도 불안함을 줄이기 위해 해본 다른 방법이 있나요?",2.7초,2024-07-05 00:16:10,2024-07-05 00:16:13
client, 아니 딱히 없는 것 같은데 너가 추천해 줄래?,14.2초,2024-07-05 00:16:28,2024-07-05 00:16:42
counselor,"(따뜻하게) 물론이죠, 소연 학생. 한 가지 방법은 자기 전에 간단한 명상이나 호흡 운동을 해보는 거예요. 혹시 이런 방법에 대해 들어본 적 있나요?",2.5초,2024-07-05 00:16:42,2024-07-05 00:16:45
